local_id	kind	name_heb	name_rom	wikidata_qid	occurrences	n_editions	match_status	grade	confidence	sound_match	flags	kima_id	kima_name_rom	kima_name_heb	distance_km	candidates	kima_url	context_sample	decision	chosen_kima_id	reviewer_notes
ED::נעשכיז	edition_only	נעשכיז			5	2	no_match	C_review	0.0									…ענה חבירו ואמר לו שמע ידידי אהובי אשר איעצך ויהי אלהים עמך. הגם אשר אני מסתופף בצל קדושת הרה״ק סבא קדישא ר״מ מנעשכיז. אולם לדבר הזה יהיה הרה״ק הרבי מלובלין יותר מסוגל לפתור ספיקך ולהדריכך בנתיב יושר. ולמען תדע איזה הדרך ישכון … ⟦SEP⟧ …לך מליזענסק ז מאחיו הה״ק הרבי ר׳ זושא מאניפאלי ח מהה״ק הרבי ר׳ ש			
ED::טירהאוויצע	edition_only	טירהאוויצע			5	1	no_match	C_review	0.0									"אצלם לילך לשם רגלי וגם בדרך הילוכם מדי עוברם בעיר טירהאוויצע בהביהמ""ד של המגיד ז""ל עשו גם שם התעוררות גדול אצל כמה אנשים לנסוע ולהתקרב לאדומו""ר ז""ל : ⟦SEP⟧ הרב הצדיק ר׳ יקותיאל המגיד מטירהאוויצע זצוק""ל הוא אשר זכה ביותר מכל המפורסמים שבדורו להכניע א""ע תחת אדומו״ר ז""ל ולעמוד לפני הדרת קדושתו באימה ופ"			
ED::בהכ	edition_only	בהכ			5	3	no_match	C_review	0.0									…זה המאמר ופתח את פיו והתחיל לומר תא חזי ושכח שאמר תא ויצא מבית הרב ושכח את כל לימודו ונעשה ע״ה פשוט והיה שמש בבהכ״נ ונעשה ליכא וליטלולא בעיני כל מזה יצא לנו מוסר לבלי להיות בעל נאוה עם לימודו כי האדם צריך להיות כמו השופר אם… ⟦SEP⟧ פג) כתב בס׳ לחמי תודה (דף ד׳) וגם עוד ראוי להוכיח ולהודיע גודל המכשל			
ED::דובנא	edition_only	דובנא			5	3	name_exact	A_autolink	0.95	True		895	Dubno (Ukraine)	דובנו (אוקראינה)		895	https://data.geo-kima.org/Places/Details/895	"…אפטא שהיה לו עם דוכס אחד מדוכסי פולין. ט) קשיא עפ""י משל ותירוץ עפ״י מעשה ומשל מאת המגיד הנודע הגדול רבי יעקב מדובנא. י) מעשה נורא מאת הגאון בעל הב״ח בעלותו על כס הרבנות דעיר ק""ק קראקא. יא) אגדת ימות המשיח ממדרשי רבותינו. ב) מ… ⟦SEP⟧ ט. קשיא עפ""י משל וגם תירוץ עפ״י משל מהרב המגיד המפורסים בעולם מדוב"			
ED::פלאה	edition_only	פלאה			5	1	no_match	C_review	0.0									"…לו בימות החול רק בלשון הקודש כידוע. ובתוך כך בא בחור אחד מלובש כעין הלבשת הדייטשין ושאל על הרב מפפ""ד הוא בעל הפלאה ז""ל. והענין היה הבחור הלז הי' לשעבר בפפ""ד בישיבת הרב בעל הפלאה. והוא בעצמו הי' מתושבי עיר זלאטשוב וכשגמר לימו… ⟦SEP⟧ …ר״ר הירש מעיר סאסוב ששמע איש מפי איש מפי הגה״ק מ׳ אברהם חיים מזלאט"			
ED::נסכיז	edition_only	נסכיז			5	1	fuzzy	C_review	0.667							18369		"א) פ״א עשה מרן מנסכיז זלה״ה מעשה שסמך על הב״ח זל״ה וקידש הלבנה בליל ב׳ דסוכות בתוך הסעודה כמובא בשו״ע בשם הב""ח וסיפר שהבעש״ט שאל ⟦SEP⟧ י) פ״א ציוה מרן מנסכיז לבעה״ב אחד לעשות איזה דבר וכמדומה שהי׳ מצורכי הקהל ונתרשל אותו אדם לעשות כן ושאלהו מרן העשית דבר זה ואמר לא ו… ⟦SEP⟧ ג) סיפר מרן מנסכיז זל""ה ש"			
ED::זצ״ל	edition_only	זצ״ל			5	3	no_match	C_review	0.0									א) וכמו ששמעתי מאאמו״ר ז״ל שסיפר מהצ״ה ר׳ שלמה מ זצ״ל שפ״א נסע קארליןבדרך משיפוע ההר הגדול ומפחד הסוסים אשר רצים מבוהלים ודחופים באין מעצור נפסק מדביקות ה׳ לשעה מי… ⟦SEP⟧ ד) וקבלתי מעשה מהרב ר׳ שמעון מ״ץ מ זצ״ל שנכשל פ״א בהוראת ז״נ והלך ווילנאעם משרתו באמצע הלילה בכל חוצות ווילנא עד שבא לשם ודפק שצר			
H-LOC_274	authority		Pavoloch		4	2	fuzzy	C_review	1.0							72894		"מעשה עלילה דק""ק פאווליטש וברח הרב דק""ק קארושטיסאב הנקרא בשמו רבי דוד ורצה לברוח עד מדינות וואלחאי כי כל האנשים חשובים אשר סביבותיהם הי… ⟦SEP⟧ …' ויצא מן הבית מיד אסף הבעש״ט עשרה אנשים ויצאו אליו ופייס אותו ורצה לרפאות אותו בדיבורים ושמעתי מר׳ גרשון דק' פאווליץ שהבעש""ט היה הולך אליו כמו שני שבועות וי"			
H-LOC_587	authority	קראשנע בראסייע		Q4237885	4	2	no_match	C_review	0.0									…כי נשמע חכמתו בין האומות וע״כ חקר אחריו והרב היה דר אז בלאדי וע״כ ברח הרח הרב חרב ביום השבת עם כל בני ביתו עד קראשנע בראסייע ושם עמדו חיל הרוסים מחנה נורא ושר המנהיג את החיל (קאמידאנט) הכיר את הרב ונתן לו הרב עצה שימהר לברוח מ… ⟦SEP⟧ …מנגד לו כי נשמע חכמתו בין האומות וע״כ חקר אחריו והרב הי' דר אז ב			
ED::טשירנאביל	edition_only	טשירנאביל			4	2	fuzzy	C_review	1.0							15239		"…מכתבים יקרים. המאירים כספירים. מהבעש״ט הק׳ מרבי ר׳ ברוך נ״ע מהגאון משפיטיפקע. מהה""ק מסיווראן . מהק׳ ר׳ מרדכי מטשירנאביל. בשנת תרמ""ד לפ""ק ⟦SEP⟧ העתקה מכ""י קודש הרב הצדיק המפורסם איש אלקי ר' מרדכי זצוקלל""ה מטשירנאביל. אשר כתב על היהודים בשנה הראשונה אחרי הלקח ארון אלקים. אביו הקדוש הרב ר׳ נחום נבג״מ "			
