full_tag	top_tag	sub_tag	n_stories	n_editions	top_cooccurring	examples
practice:dance	practice	dance	19	7	practice:prayer(10); characters-and-roles:the_family_of_the_tsaddik(9); social:inter_hasidic_master_disciple_relationship(8); times:birth(6); times:shabbat(6)	Adat-Zadikim_0001; Khal-Hasidim_0064; Khal-Hasidim_0081
practice:music	practice	music	19	6	practice:study(11); supernatural:communicating_with_the_invisible(10); women:minor_character(8); practice:protection(8); characters-and-roles:the_family_of_the_tsaddik(8)	Adat-Zadikim_0004; Adat-Zadikim_0008; Khal-Hasidim_0001
practice:solitude	practice	solitude	19	5	characters-and-roles:the_family_of_the_tsaddik(14); women:minor_character(12); social:marital_relationship(10); characters-and-roles:hidden_righteous(9); practice:study(8)	Khal-Hasidim_0001; Khal-Hasidim_0002; Khal-Hasidim_0003
times:birth	times	birth	19	5	supernatural:perception(14); characters-and-roles:the_family_of_the_tsaddik(13); social:inter_hasidic_master_disciple_relationship(9); social:conflict(9); women:mention_only(8)	Adat-Zadikim_0001; Khal-Hasidim_0001; Khal-Hasidim_0051
folkloristics:story_type_death_of_the_tsaddik	folkloristics	story_type_death_of_the_tsaddik	18	5	times:death(18); social:inter_hasidic_master_disciple_relationship(8); supernatural:perception(7); characters-and-roles:the_family_of_the_tsaddik(6); ethics-and-emotions:sadness(6)	Khal-Hasidim_0079; Khal-Hasidim_0127; Khal-Hasidim_0128
folkloristics:story_type_protection	folkloristics	story_type_protection	18	5	practice:protection(18); social:relations_with_non_jews(13); practice:prayer(8); supernatural:prognostication(8); social:relations_with_the_authorities(7)	Khal-Hasidim_0028; Khal-Hasidim_0034; Khal-Hasidim_0040
practice:pilgrimage_to_the_graves_of_tsaddikim	practice	pilgrimage_to_the_graves_of_tsaddikim	18	6	practice:recitation_of_psalms(11); times:death(11); social:inter_hasidic_master_disciple_relationship(10); characters-and-roles:the_family_of_the_tsaddik(10); ethics-and-emotions:fear(9)	Adat-Zadikim_0008; Adat-Zadikim_0013; Khal-Hasidim_0002
characters-and-roles:ritual_slaughterer	characters-and-roles	ritual_slaughterer	17	5	practice:ritual_slaughtering(13); supernatural:perception(13); social:conflict(7); ethics-and-emotions:prohibitions(6); women:minor_character(5)	Adat-Zadikim_0010; Khal-Hasidim_0008; Khal-Hasidim_0014
experience:journey_to_heaven	experience	journey_to_heaven	17	5	spaces:heaven(12); supernatural:communicating_with_the_invisible(9); social:inter_hasidic_master_disciple_relationship(7); knowledge:esoteric(7); ethics-and-emotions:sadness(6)	Adat-Zadikim_0019; Khal-Hasidim_0008; Khal-Hasidim_0013
kabbalah:kabbalistic_terms_yihudim	kabbalah	kabbalistic_terms_yihudim	17	6	practice:meditation(17); social:inter_hasidic_master_disciple_relationship(6); knowledge:esoteric(6); supernatural:perception(6); supernatural:light_or_fire_as_a_sign_of_righteousness(6)	Adat-Zadikim_0019; Khal-Hasidim_0031; Khal-Hasidim_0116
not-a-hasidic-story:sermon	not-a-hasidic-story	sermon	17	4	practice:sermon(13); not-a-hasidic-story:virtues(3); ethics-and-emotions:repentance(3); practice:prayer(3); ethics-and-emotions:charity(2)	Khal-Hasidim_0228; Mifalot-HaZadikim_0031; Mifalot-HaZadikim_0032
social:inter_hasidic_inheritance_of_leadership	social	inter_hasidic_inheritance_of_leadership	17	5	times:death(15); social:inter_hasidic_master_disciple_relationship(14); supernatural:perception(10); social:inter_hasidic(9); practice:study(6)	Khal-Hasidim_0152; Khal-Hasidim_0164; Khal-Hasidim_0174
social:competition	social	competition	16	3	social:conflict(9); supernatural:perception(7); social:relations_with_non_jews(7); supernatural:magic(6); practice:healing(6)	Adat-Zadikim_0004; Adat-Zadikim_0022; Khal-Hasidim_0014
practice:use_of_holy_names	practice	use_of_holy_names	15	4	knowledge:esoteric(13); supernatural:magic(7); characters-and-roles:the_family_of_the_tsaddik(7); practice:healing(7); women:minor_character(6)	Adat-Zadikim_0003; Adat-Zadikim_0019; Khal-Hasidim_0008
characters-and-roles:elijah_the_prophet	characters-and-roles	elijah_the_prophet	14	5	experience:revelation(14); ethics-and-emotions:prohibitions(6); supernatural:perception(5); women:minor_character(5); characters-and-roles:the_family_of_the_tsaddik(5)	Adat-Zadikim_0011; Adat-Zadikim_0023; Khal-Hasidim_0019
ethics-and-emotions:pride	ethics-and-emotions	pride	14	6	ethics-and-emotions:humility(13); ethics-and-emotions:prohibitions(11); social:inter_hasidic_master_disciple_relationship(8); supernatural:prognostication(4); practice:study(4)	Adat-Zadikim_0012; Khal-Hasidim_0044; Khal-Hasidim_0104
practice:circumcision	practice	circumcision	14	5	social:inter_hasidic_master_disciple_relationship(6); supernatural:perception(6); ethics-and-emotions:anger(5); supernatural:magic(4); supernatural:miracle(4)	Adat-Zadikim_0004; Khal-Hasidim_0024; Khal-Hasidim_0119
characters-and-roles:preacher	characters-and-roles	preacher	13	4	supernatural:perception(9); practice:sermon(7); social:inter_hasidic_master_disciple_relationship(7); ethics-and-emotions:prohibitions(5); ethics-and-emotions:repentance(5)	Adat-Zadikim_0009; Khal-Hasidim_0032; Khal-Hasidim_0045
folkloristics:story_type_advent	folkloristics	story_type_advent	13	5	characters-and-roles:hidden_righteous(8); folkloristics:story_type_rapprochement(8); supernatural:perception(7); social:retrospective_recognition(7); social:inter_hasidic(7)	Khal-Hasidim_0004; Khal-Hasidim_0021; Khal-Hasidim_0086
practice:travel_to_other_tsaddik	practice	travel_to_other_tsaddik	13	4	practice:travel_to_the_tsaddik(12); social:inter_hasidic(12); social:inter_hasidic_master_disciple_relationship(11); ethics-and-emotions:prohibitions(6); social:inter_hasidic_conflict_between_tsaddikim(4)	Adat-Zadikim_0015; Khal-Hasidim_0171; Khal-Hasidim_0213
social:converts_and_conversion	social	converts_and_conversion	13	6	supernatural:perception(11); practice:storytelling(8); social:inter_hasidic_master_disciple_relationship(6); practice:protection(6); supernatural:communicating_with_the_invisible(6)	Adat-Zadikim_0008; Khal-Hasidim_0028; Khal-Hasidim_0036
supernatural:contraction_of_the_road	supernatural	contraction_of_the_road	13	5	supernatural:perception(7); supernatural:magic(6); ethics-and-emotions:repentance(5); supernatural:communicating_with_the_invisible(5); practice:pidyon_nefesh(5)	Adat-Zadikim_0004; Adat-Zadikim_0010; Khal-Hasidim_0003
practice:pidyon_shvuyim	practice	pidyon_shvuyim	12	5	supernatural:perception(8); social:inter_hasidic_master_disciple_relationship(7); characters-and-roles:angels(5); social:relations_with_non_jews(5); social:relations_with_the_authorities(4)	Adat-Zadikim_0006; Khal-Hasidim_0051; Khal-Hasidim_0075
